"no","title","oecd","score","q","issn1","issn2"
311,"Science for Education Today","05.03.00","0,292","2",NA,"2658-6762"
312,"Строительная механика инженерных конструкций и сооружений","02.01.00","0,292","2","1815-5235","2587-8700"
313,"Turczaninowia","01.06.00","0,291","2","1560-7259","1560-7267"
314,"Кокс и химия","01.04.00","0,291","2","0023-2815",NA
315,"Кардиоваскулярная терапия и профилактика","03.02.00","0,291","2","1728-8800","2619-0125"
316,"Аналитика и контроль","01.04.00","0,290","2","2073-1442","2073-1450"
317,"Дефектоскопия","02.05.00","0,290","2","0130-3082",NA
318,"Бизнес-информатика","05.02.00","0,290","2","1998-0663","2587-8166"
319,"Вестник Новосибирского государственного университета. Серия: История, филология","06.01.00","0,289","2","1818-7919",NA
320,"Современная Европа","05.06.00","0,289","2","0201-7083",NA
321,"Экономическая политика","05.02.00","0,288","2","1994-5124","2411-2658"
322,"Botanica Pacifica: a Journal of Plant Science and Conservation","01.06.00","0,287","2","2226-4701","2410-3713"
323,"Геоэкология. Инженерная геология, гидрогеология, геокриология","01.05.00","0,287","2","0869-7809",NA
324,"Сейсмические приборы","01.05.00","0,287","2","0131-6230","2312-6965"
325,"Тонкие химические технологии","01.04.00","0,287","2","2410-6593","2686-7575"
326,"Молочное и мясное скотоводство","04.02.00","0,286","2","0026-9034",NA
327,"Вестник Санкт-Петербургского университета. Экономика","05.02.00","0,286","2","1026-356X","2542-226X"
328,"Вестник Томского государственного университета","06.01.00","0,286","2","1561-7793","1561-803X"
329,"Вестник Московского университета. Серия 2: Химия","01.04.00","0,286","2","0579-9384","1728-2101"
330,"Геофизические исследования","01.05.00","0,286","2","1818-3735","2311-9543"
331,"Экологическая генетика","01.06.00","0,284","2","1811-0932","2411-9202"
332,"Биологические мембраны","01.06.00","0,284","2","0233-4755",NA
333,"Молекулярная генетика, микробиология и вирусология","01.06.00","0,284","2","0208-0613",NA
334,"Известия Российской академии наук. Серия физическая","01.03.00","0,283","2","0367-6765",NA
335,"Химия растительного сырья","01.04.00","0,281","2","1029-5151","1029-5143"
336,"Записки Российского минералогического общества","01.05.00","0,281","2","0869-6055","2658-4352"
337,"Иммунология","03.01.00","0,281","2","0206-4952","2412-1312"
338,"Основания, фундаменты и механика грунтов","02.01.00","0,279","2","0030-6223",NA
339,"Автометрия","01.02.00","0,278","2","0320-7102",NA
340,"Journal of Biomedical Photonics & Engineering","01.06.00","0,278","2",NA,"2411-2844"
341,"Успехи современной биологии","01.06.00","0,277","2","0042-1324",NA
342,"Вестник Московского университета. Серия 16: Биология","01.06.00","0,276","2","0137-0952",NA
343,"Вестник восстановительной медицины","03.03.00","0,276","2","2078-1962","2713-2625"
344,"Проблемы Арктики и Антарктики","01.05.00","0,275","2","0555-2648","2618-6713"
345,"Мелиорация и гидротехника","04.01.00","0,274","2",NA,"2712-9357"
346,"Вестник архивиста","06.01.00","0,273","2","2073-0101",NA
347,"Краткие сообщения по физике ФИАН","01.03.00","0,273","2","0455-0595",NA
348,"Химия и технология топлив и масел","01.04.00","0,273","2","0023-1169",NA
349,"Химико-фармацевтический журнал","03.01.00","0,272","2","0023-1134",NA
350,"Ангиология и сосудистая хирургия. Журнал имени академика А.В. Покровского","02.06.00","0,271","2","1027-6661",NA
351,"Теоретическая и прикладная экология","01.06.00","0,271","2","1995-4301","2618-8406"
